Symbol,Timeframe,Price,MA50,MA150,MA200,MA200 slope %,52W High,52W Low,% Above 52W Low,% Below 52W High,RS Rating,Score,TradingView,P > MA50,P > MA150,P > MA200,MA50 > MA150,MA150 > MA200,MA200 Rising,25% Above 52W Low,Within 25% 52W High,RS > Threshold
STLTECH,4h,837.0,773.6330004882813,647.1773366292317,605.400751953125,17.47655656971161,912.0,84.5999984741211,889.3617199721771,8.960573476702516,100.0,9,https://www.tradingview.com/symbols/STLTECH/?exchange=NSE,True,True,True,True,True,True,True,True,True
WELCORP,4h,2824.39990234375,2556.0639892578124,1934.638661295573,1785.5119958496093,16.058980800068046,2837.5,707.6502693631002,299.1236949412551,0.4638187972382912,99.72222222222223,9,https://www.tradingview.com/symbols/WELCORP/?exchange=NSE,True,True,True,True,True,True,True,True,True
SHILPAMED,4h,1013.4500122070312,946.0600024414063,744.1436657714844,680.5137490844727,15.862893112574096,1075.0,259.33715759272434,290.7847304313416,6.0733126500170265,99.44444444444444,9,https://www.tradingview.com/symbols/SHILPAMED/?exchange=NSE,True,True,True,True,True,True,True,True,True
SANSERA,4h,4670.0,4064.1600048828127,3576.9386637369794,3358.442497558594,9.167709142380831,4743.5,1362.8258521500732,242.67034138164735,1.5738758029978595,99.16666666666667,9,https://www.tradingview.com/symbols/SANSERA/?exchange=NSE,True,True,True,True,True,True,True,True,True
AVALON,4h,2324.89990234375,2282.267998046875,1960.2653328450522,1829.1719976806642,12.484687753851409,2618.0,777.2999877929688,199.09943893669265,12.606998579197892,98.75,9,https://www.tradingview.com/symbols/AVALON/?exchange=NSE,True,True,True,True,True,True,True,True,True
CPPLUS,4h,3718.0,3635.4659912109373,3579.1139990234374,3379.609501953125,7.733514256844809,4094.0,1226.4431802909007,203.15305753652,10.112963959117804,98.61111111111111,9,https://www.tradingview.com/symbols/CPPLUS/?exchange=NSE,True,True,True,True,True,True,True,True,True
TDPOWERSYS,4h,751.5499877929688,751.0330017089843,658.5233321126302,650.7287484741211,5.952502688058936,817.5499877929688,281.9800339055006,166.52595837506504,8.781850984233031,98.33333333333333,9,https://www.tradingview.com/symbols/TDPOWERSYS/?exchange=NSE,True,True,True,True,True,True,True,True,True
SYRMA,4h,1731.0,1564.1460009765624,1448.7680029296876,1360.9255026245116,8.66683409968374,1803.9000244140625,633.8515990037583,173.09231415060867,4.211439885272239,98.19444444444444,9,https://www.tradingview.com/symbols/SYRMA/?exchange=NSE,True,True,True,True,True,True,True,True,True
AETHER,4h,1770.0,1648.0039965820313,1504.6033349609374,1411.0640032958984,5.670528063210756,1798.0,728.0,143.13186813186812,1.5819209039547921,98.05555555555556,9,https://www.tradingview.com/symbols/AETHER/?exchange=NSE,True,True,True,True,True,True,True,True,True
LAURUSLABS,4h,2007.0,1920.6819970703125,1716.3040030924478,1622.7125024414063,9.202054531651193,2055.300048828125,821.6033975811163,144.2784445523,2.4065794134591423,97.91666666666666,9,https://www.tradingview.com/symbols/LAURUSLABS/?exchange=NSE,True,True,True,True,True,True,True,True,True
SMLMAH,4h,6825.5,5973.06,4960.1406656901045,4657.649998779297,9.135501170212823,6898.5,2703.052088847761,152.51085719585703,1.0695187165775444,97.77777777777777,9,https://www.tradingview.com/symbols/SMLMAH/?exchange=NSE,True,True,True,True,True,True,True,True,True
APARINDS,4h,17790.0,17565.22,15974.02,15217.755,6.857008338288129,19265.0,6777.469795325622,162.4873372695759,8.291174817313095,97.63888888888889,9,https://www.tradingview.com/symbols/APARINDS/?exchange=NSE,True,True,True,True,True,True,True,True,True
MARKSANS,4h,336.5,328.1550018310547,289.91913462320963,273.38075065612793,9.75391175759781,350.95001220703125,154.57339337516265,117.69593890151984,4.294208679652667,97.36111111111111,9,https://www.tradingview.com/symbols/MARKSANS/?exchange=NSE,True,True,True,True,True,True,True,True,True
PGIL,4h,1329.0999755859375,1183.4570068359376,1081.5043359375,1012.4115020751954,6.985891135877886,1355.0,594.6744698202933,123.5004263740434,1.9486889541657337,96.94444444444444,9,https://www.tradingview.com/symbols/PGIL/?exchange=NSE,True,True,True,True,True,True,True,True,True
AEGISLOG,4h,1362.199951171875,1331.9019970703125,1272.460332438151,1136.1747497558595,10.445265965628625,1528.699951171875,573.0465115667306,137.7119350133673,12.222875199544902,96.80555555555556,9,https://www.tradingview.com/symbols/AEGISLOG/?exchange=NSE,True,True,True,True,True,True,True,True,True
SONACOMS,4h,824.5,802.1330004882813,736.0743339029948,700.2622491455078,5.423910852270741,844.0,399.83497257584986,106.21007579410526,2.365069739235892,96.66666666666667,9,https://www.tradingview.com/symbols/SONACOMS/?exchange=NSE,True,True,True,True,True,True,True,True,True
WELSPUNLIV,4h,225.00999450683594,205.114599609375,176.99413340250652,167.58355010986327,8.929487412023551,233.0,107.03568289025932,110.21960941523807,3.550955818951995,96.52777777777779,9,https://www.tradingview.com/symbols/WELSPUNLIV/?exchange=NSE,True,True,True,True,True,True,True,True,True
FINCABLES,4h,1465.199951171875,1335.5540014648439,1172.9893314615886,1144.8482476806641,6.362110207840255,1498.0,695.8450204922062,110.56412103595501,2.238605645727154,96.11111111111111,9,https://www.tradingview.com/symbols/FINCABLES/?exchange=NSE,True,True,True,True,True,True,True,True,True
AKUMS,4h,819.7000122070312,775.4580004882813,703.7223327636718,662.2619998168946,6.4826201391640526,838.7999877929688,407.37371334346585,101.21573517335025,2.3301177627789826,95.55555555555556,9,https://www.tradingview.com/symbols/AKUMS/?exchange=NSE,True,True,True,True,True,True,True,True,True
INOXINDIA,4h,2156.800048828125,2108.091984863281,1986.9826635742188,1865.1569970703124,6.280779148029647,2339.5,1066.9168905614442,102.15258263398108,8.47088033362866,95.41666666666667,9,https://www.tradingview.com/symbols/INOXINDIA/?exchange=NSE,True,True,True,True,True,True,True,True,True
NEOGEN,4h,2388.0,2266.962001953125,2134.7220003255206,2045.0380010986328,6.41003161642224,2499.699951171875,966.2326038611084,147.14545860463062,4.677552394132123,95.27777777777777,9,https://www.tradingview.com/symbols/NEOGEN/?exchange=NSE,True,True,True,True,True,True,True,True,True
KTKBANK,4h,334.75,330.38300048828125,299.08966654459635,289.48299980163574,4.5491104103340785,345.3999938964844,167.3874286313754,99.98514986283375,3.1814768921536674,95.13888888888889,9,https://www.tradingview.com/symbols/KTKBANK/?exchange=NSE,True,True,True,True,True,True,True,True,True
EMIL,4h,200.22000122070312,184.59540069580078,154.28380040486653,144.40120021820067,9.512699168253192,202.86000061035156,84.9000015258789,135.83038589189283,1.3185492825656064,95.0,9,https://www.tradingview.com/symbols/EMIL/?exchange=NSE,True,True,True,True,True,True,True,True,True
SAILIFE,4h,1593.0,1555.0700024414064,1381.8720035807291,1319.7250024414063,7.792202673621285,1697.0,783.8499755859375,103.22766468280018,6.528562460765852,94.86111111111111,9,https://www.tradingview.com/symbols/SAILIFE/?exchange=NSE,True,True,True,True,True,True,True,True,True
REDINGTON,4h,406.8500061035156,378.66,321.7374003092448,297.861600112915,10.226663655581225,419.5,187.19874597305954,117.33586087273622,3.1092524779920527,94.58333333333333,9,https://www.tradingview.com/symbols/REDINGTON/?exchange=NSE,True,True,True,True,True,True,True,True,True
ENTERO,4h,1815.5,1763.9880004882812,1408.8686637369792,1357.6664990234376,7.502986246698029,1920.0,944.0,92.31991525423729,5.755990085375928,94.44444444444444,9,https://www.tradingview.com/symbols/ENTERO/?exchange=NSE,True,True,True,True,True,True,True,True,True
QPOWER,4h,1517.800048828125,1445.9439965820313,1280.9693326822917,1241.5399996948242,3.077167384907531,1568.943822130586,580.4955789253012,161.4662546850227,3.369598870546131,93.88888888888889,9,https://www.tradingview.com/symbols/QPOWER/?exchange=NSE,True,True,True,True,True,True,True,True,True
